structure,weighted_maturity_years,weighted_reference_yield_pct,modified_duration_proxy,price_effect_+25bp_pct,price_effect_+50bp_pct,price_effect_+100bp_pct,price_effect_-50bp_pct
短期中心,1.95,1.65025,1.8775422356263025,-0.46938555890657563,-0.9387711178131513,-1.8775422356263025,0.9387711178131513
中短期中心,3.45,1.9273,3.1864537108206323,-0.7966134277051581,-1.5932268554103162,-3.1864537108206323,1.5932268554103162
均等分散,7.6,2.44624,5.98287382303523,-1.4957184557588075,-2.991436911517615,-5.98287382303523,2.991436911517615
中長期比重,7.4,2.50507,6.158215159402353,-1.5395537898505884,-3.079107579701177,-6.158215159402354,3.079107579701177
