metric,rank,prefecture,value,R4,R5,R6,R4_R6_change
R6有価証券比率,1,埼玉県,62.889036099039785,64.25627756251583,62.19266228734729,62.889036099039785,-1.3672414634760486
R6有価証券比率,2,島根県,56.137222138387834,55.09226422398441,51.74163183906549,56.137222138387834,1.044957914403426
R6有価証券比率,3,長崎県,56.08874649321452,8.861126865357647,47.00659350276412,56.08874649321452,47.227619627856875
R6有価証券比率,4,大分県,51.96599801932686,51.00123817068276,49.52018029815966,51.96599801932686,0.9647598486440998
R6有価証券比率,5,熊本県,42.31685028484834,39.757115042798155,42.799690765098475,42.31685028484834,2.5597352420501878
R6有価証券比率,6,宮崎県,34.93468789975299,15.389766737193671,13.27638112211752,34.93468789975299,19.544921162559316
R6有価証券比率,7,山梨県,33.075147031248015,10.033893078958014,9.659076360679352,33.075147031248015,23.04125395229
R6有価証券比率,8,奈良県,23.785633879662797,6.637800535195801,18.195240871950418,23.785633879662797,17.147833344466996
R6有価証券比率,9,静岡県,22.790023211086176,18.770511759332553,20.214366821576427,22.790023211086176,4.019511451753623
R6有価証券比率,10,福島県,16.272246577778578,14.85316665581651,14.908729449685351,16.272246577778578,1.4190799219620676
R6有価証券比率,11,岐阜県,16.197720766893838,31.29443176772987,37.85677934090304,16.197720766893838,-15.09671100083603
R6有価証券比率,12,鹿児島県,14.434396994880075,6.977667793519597,11.623657724607906,14.434396994880075,7.456729201360478
R6有価証券比率,13,鳥取県,13.489893742769684,10.639897533838,13.31002449640602,13.489893742769684,2.8499962089316835
R6有価証券比率,14,岩手県,13.206679699267513,8.256435456085827,9.831415442358518,13.206679699267513,4.950244243181686
R6有価証券比率,15,岡山県,12.30690446115471,10.968098038085127,12.316590089808157,12.30690446115471,1.3388064230695829
R6有価証券比率,16,栃木県,10.113837788902744,6.686337189227394,6.929339423829414,10.113837788902744,3.4275005996753505
R6有価証券比率,17,福岡県,10.09787410053457,10.266782136036511,9.73015613081806,10.09787410053457,-0.168908035501941
R6有価証券比率,18,宮城県,10.046919377323862,2.5297573984985613,5.825552257638007,10.046919377323862,7.517161978825301
R6有価証券比率,19,東京都,9.718176345202771,4.281761413729789,4.01401121010418,9.718176345202771,5.436414931472982
R6有価証券比率,20,秋田県,8.933745756235668,0.9493042330205984,1.345767490110179,8.933745756235668,7.98444152321507
R6有価証券比率,21,富山県,8.452861575374225,13.693707222087697,23.583948439220645,8.452861575374225,-5.240845646713472
R6有価証券比率,22,沖縄県,5.588808916576009,6.374765243577779,5.771280394917061,5.588808916576009,-0.7859563270017702
R6有価証券比率,23,長野県,4.38042932925926,4.867867908058489,4.334485108677065,4.38042932925926,-0.487438578799229
R6有価証券比率,24,神奈川県,4.3559142533021245,4.961510684914895,4.514782479998253,4.3559142533021245,-0.6055964316127707
R6有価証券比率,25,兵庫県,4.321593187245168,5.592703164142844,4.274146031043385,4.321593187245168,-1.2711099768976766
R6有価証券比率,26,高知県,4.3119833021026235,4.340828870508346,2.290080610180293,4.3119833021026235,-0.028845568405722943
R6有価証券比率,27,北海道,4.200833255018107,4.7405584401216565,4.242694881864581,4.200833255018107,-0.5397251851035492
R6有価証券比率,28,山形県,3.7525521029314537,1.6581086385564,2.530304885021434,3.7525521029314537,2.094443464375054
R6有価証券比率,29,滋賀県,3.314343058792852,2.686468800780638,2.4641608543370155,3.314343058792852,0.6278742580122141
R6有価証券比率,30,京都府,2.9309075904620356,10.525141790130762,7.321624662314652,2.9309075904620356,-7.594234199668726
R6有価証券比率,31,新潟県,2.1928956724091164,0.019034711381986306,2.6104691668919546,2.1928956724091164,2.1738609610271302
R6有価証券比率,32,福井県,2.0684964202945704,2.461644905588943,1.9054052260226613,2.0684964202945704,-0.39314848529437274
R6有価証券比率,33,三重県,2.046761760605906,1.920127968049853,1.9674022250604057,2.046761760605906,0.12663379255605278
R6有価証券比率,34,青森県,2.0008882463958284,2.420175333255432,1.4264122269591684,2.0008882463958284,-0.4192870868596037
R6有価証券比率,35,群馬県,1.622720078456351,3.805650590803151,2.238946106559594,1.622720078456351,-2.1829305123468
R6有価証券比率,36,★愛媛県,1.182785456317177,1.33047980168987,1.192298175218278,1.182785456317177,-0.1476943453726931
R6有価証券比率,37,大阪府,1.0146426985886727,1.3524447405246884,1.2787732005386043,1.0146426985886727,-0.3378020419360157
R6有価証券比率,38,愛知県,0.8252601295028857,1.1177933537077076,1.1586958993762215,0.8252601295028857,-0.29253322420482186
R6有価証券比率,39,徳島県,0.7198446519419358,0.8042660842886256,0.7752935637819347,0.7198446519419358,-0.08442143234668975
R6有価証券比率,40,千葉県,0.02303541713582613,0.025797978624666887,0.024699869111688595,0.02303541713582613,-0.0027625614888407563
R6有価証券比率,41,石川県,0.0037467039260413726,0.007418639132205187,0.007000581196920547,0.0037467039260413726,-0.0036719352061638146
R6有価証券比率,42,茨城県,0.0,0.0,0.0,0.0,0.0
R6有価証券比率,43,和歌山県,0.0,0.0,0.0,0.0,0.0
R6有価証券比率,44,広島県,0.0,0.0,0.0,0.0,0.0
R6有価証券比率,45,山口県,0.0,0.0,0.0,0.0,0.0
R6有価証券比率,46,香川県,0.0,0.0,0.0,0.0,0.0
R6有価証券比率,47,佐賀県,0.0,0.0,0.0,0.0,0.0
R6有価証券残高,1,東京都,245686.957,101115.157,104115.157,245686.957,144571.8
R6有価証券残高,2,埼玉県,188161.388,167836.135,177178.645,188161.388,20325.252999999997
R6有価証券残高,3,福島県,82483.065,78494.755,78494.755,82483.065,3988.3099999999977
R6有価証券残高,4,長崎県,55502.586,8731.56,47223.944,55502.586,46771.026000000005
R6有価証券残高,5,宮崎県,48533.237,20864.607,18875.165,48533.237,27668.63
R6有価証券残高,6,熊本県,44299.619,43172.419,42350.303,44299.619,1127.199999999997
R6有価証券残高,7,奈良県,44200.0,12499.9,34200.0,44200.0,31700.1
R6有価証券残高,8,大分県,43596.199,41400.047,41615.833,43596.199,2196.152000000002
R6有価証券残高,9,山梨県,33302.069,9302.963,9302.516,33302.069,23999.106000000003
R6有価証券残高,10,静岡県,30649.134,26575.589,28050.832,30649.134,4073.5449999999983
R6有価証券残高,11,島根県,30255.683,24892.162,27263.414,30255.683,5363.521000000001
R6有価証券残高,12,鹿児島県,18341.222,6994.513,12422.422,18341.222,11346.709000000003
R6有価証券残高,13,福岡県,18291.986,18491.986,18491.986,18291.986,-200.0
R6有価証券残高,14,宮城県,18165.294,5015.725,11964.82,18165.294,13149.569000000001
R6有価証券残高,15,神奈川県,17395.809,16926.065,17002.196,17395.809,469.7440000000024
R6有価証券残高,16,岐阜県,16996.714,31990.337,41490.337,16996.714,-14993.623
R6有価証券残高,17,岩手県,15012.076,9212.076,11612.076,15012.076,5800.0
R6有価証券残高,18,岡山県,13494.09,12003.209,13080.306,13494.09,1490.8809999999994
R6有価証券残高,19,栃木県,11536.689,7130.0,8340.0,11536.689,4406.689
R6有価証券残高,20,沖縄県,9398.25,9861.879,9267.25,9398.25,-463.6290000000008
R6有価証券残高,21,鳥取県,8291.702,6650.211,8457.398,8291.702,1641.490999999999
R6有価証券残高,22,秋田県,6650.0,650.0,1050.0,6650.0,6000.0
R6有価証券残高,23,北海道,6490.0,6490.0,6490.0,6490.0,0.0
R6有価証券残高,24,長野県,6419.927,6088.71,6238.774,6419.927,331.21699999999964
R6有価証券残高,25,富山県,5365.132,8307.497,14484.314,5365.132,-2942.365
R6有価証券残高,26,兵庫県,5301.0,5866.0,5638.0,5301.0,-565.0
R6有価証券残高,27,大阪府,4996.836,6428.604,5904.284,4996.836,-1431.768
R6有価証券残高,28,愛知県,4196.504,4200.0,4196.504,4196.504,-3.4960000000000946
R6有価証券残高,29,青森県,3245.0,3230.157,2130.0,3245.0,14.842999999999847
R6有価証券残高,30,滋賀県,3145.084,2377.909,2276.591,3145.084,767.1749999999997
R6有価証券残高,31,新潟県,2961.403,21.402,3461.402,2961.403,2940.0009999999997
R6有価証券残高,32,三重県,2423.694,1830.891,2115.587,2423.694,592.8029999999999
R6有価証券残高,33,高知県,2279.307,2359.707,1243.334,2279.307,-80.40000000000009
R6有価証券残高,34,山形県,2204.756,1157.921,1789.445,2204.756,1046.8349999999998
R6有価証券残高,35,群馬県,1996.961,3447.664,2845.916,1996.961,-1450.7030000000002
R6有価証券残高,36,★愛媛県,1540.314,1540.315,1540.314,1540.314,-0.0009999999999763531
R6有価証券残高,37,京都府,1200.0,1999.712,1999.712,1200.0,-799.712
R6有価証券残高,38,福井県,900.0,900.0,900.0,900.0,0.0
R6有価証券残高,39,徳島県,706.514,706.514,706.514,706.514,0.0
R6有価証券残高,40,千葉県,100.0,100.0,100.0,100.0,0.0
R6有価証券残高,41,石川県,10.029,10.029,10.029,10.029,0.0
R6有価証券残高,42,茨城県,0.0,0.0,0.0,0.0,0.0
R6有価証券残高,43,和歌山県,0.0,0.0,0.0,0.0,0.0
R6有価証券残高,44,広島県,0.0,0.0,0.0,0.0,0.0
R6有価証券残高,45,山口県,0.0,0.0,0.0,0.0,0.0
R6有価証券残高,46,香川県,0.0,0.0,0.0,0.0,0.0
R6有価証券残高,47,佐賀県,0.0,0.0,0.0,0.0,0.0
R6有価証券/標準財政規模,1,福島県,16.18206717571149,78494.755,78494.755,82483.065,3988.3099999999977
R6有価証券/標準財政規模,2,宮崎県,14.353470730824483,20864.607,18875.165,48533.237,27668.63
R6有価証券/標準財政規模,3,埼玉県,14.207296502875149,167836.135,177178.645,188161.388,20325.252999999997
R6有価証券/標準財政規模,4,長崎県,13.988698404346472,8731.56,47223.944,55502.586,46771.026000000005
R6有価証券/標準財政規模,5,大分県,12.780820537890966,41400.047,41615.833,43596.199,2196.152000000002
R6有価証券/標準財政規模,6,奈良県,12.730279413993904,12499.9,34200.0,44200.0,31700.1
R6有価証券/標準財政規模,7,山梨県,12.1111656358523,9302.963,9302.516,33302.069,23999.106000000003
R6有価証券/標準財政規模,8,島根県,10.812539671216657,24892.162,27263.414,30255.683,5363.521000000001
R6有価証券/標準財政規模,9,熊本県,9.887495846044251,43172.419,42350.303,44299.619,1127.199999999997
R6有価証券/標準財政規模,10,東京都,5.5072128834037475,101115.157,104115.157,245686.957,144571.8
R6有価証券/標準財政規模,11,静岡県,4.089887774071557,26575.589,28050.832,30649.134,4073.5449999999983
R6有価証券/標準財政規模,12,岩手県,3.8093086008449384,9212.076,11612.076,15012.076,5800.0
R6有価証券/標準財政規模,13,鳥取県,3.758834604431293,6650.211,8457.398,8291.702,1641.490999999999
R6有価証券/標準財政規模,14,鹿児島県,3.74829398589882,6994.513,12422.422,18341.222,11346.709000000003
R6有価証券/標準財政規模,15,宮城県,3.6696956320270355,5015.725,11964.82,18165.294,13149.569000000001
R6有価証券/標準財政規模,16,岐阜県,3.3994297030209277,31990.337,41490.337,16996.714,-14993.623
R6有価証券/標準財政規模,17,岡山県,3.0763926464073115,12003.209,13080.306,13494.09,1490.8809999999994
R6有価証券/標準財政規模,18,栃木県,2.479749394331697,7130.0,8340.0,11536.689,4406.689
R6有価証券/標準財政規模,19,沖縄県,2.243861521165087,9861.879,9267.25,9398.25,-463.6290000000008
R6有価証券/標準財政規模,20,秋田県,2.029785363444836,650.0,1050.0,6650.0,6000.0
R6有価証券/標準財政規模,21,福岡県,1.7762506757649978,18491.986,18491.986,18291.986,-200.0
R6有価証券/標準財政規模,22,富山県,1.705437669957861,8307.497,14484.314,5365.132,-2942.365
R6有価証券/標準財政規模,23,長野県,1.2014263308445765,6088.71,6238.774,6419.927,331.21699999999964
R6有価証券/標準財政規模,24,神奈川県,1.1998850208383645,16926.065,17002.196,17395.809,469.7440000000024
R6有価証券/標準財政規模,25,滋賀県,0.8645985371410959,2377.909,2276.591,3145.084,767.1749999999997
R6有価証券/標準財政規模,26,青森県,0.8480666998474613,3230.157,2130.0,3245.0,14.842999999999847
R6有価証券/標準財政規模,27,高知県,0.8359497683643595,2359.707,1243.334,2279.307,-80.40000000000009
