fiscal_year,fund_total_m_yen,fiscal_adjustment_m_yen,debt_reduction_m_yen,facility_renewal_m_yen,school_environment_m_yen,digital_m_yen,medical_care_m_yen,disaster_resilience_m_yen,fund_total_yoy_pct
R2,90975,22570,17993,15167,,0,7516,5994,
R3,114030,25932,18786,20351,1838.0,13000,7863,6141,25.34212695795548
R4,115771,30306,18788,19235,1956.0,10504,8020,6287,1.5267911952994817
R5,129189,27372,21053,20834,11039.0,8519,8148,6505,11.590121878536074
R6,130228,26114,22931,16532,13227.0,6652,8427,6515,0.804248039693789
