決算年度,業務コード,団体コード ,県名,団体名,団体区分,表番号,表名称,行番号,行名称,001:歳入総額,002:歳出総額,003:歳入歳出差引,004:翌年度に繰り越すべき財源,005:実質収支,006:単年度収支,007:積立金,008:繰上償還金,009:積立金取崩し額,010:実質単年度収支
2022,62,410004,佐賀県,佐賀県,,2,決算収支の状況,1,令和4年度,613699133,595781190,17917943,6837437,11080506,9681594,3262792,31939,4000000,8976325
2022,62,420000,長崎県,長崎県,,2,決算収支の状況,1,令和4年度,802100998,786301848,15799150,14496325,1302825,544642,381777,0,4000000,-3073581
2022,62,430005,熊本県,熊本県,,2,決算収支の状況,1,令和4年度,1028620307,978345151,50275156,25647460,24627696,4027654,7489,0,0,4035143
2022,62,440001,大分県,大分県,,2,決算収支の状況,1,令和4年度,736303105,699396596,36906509,27979626,8926883,3880429,2033864,0,1122324,4791969
2022,62,450006,宮崎県,宮崎県,,2,決算収支の状況,1,令和4年度,722275169,690519290,31755879,17151854,14604025,9307821,428,0,3000000,6308249
2022,62,460001,鹿児島県,鹿児島県,,2,決算収支の状況,1,令和4年度,975815228,921475579,54339649,33252489,21087160,5327623,9271800,0,9269857,5329566
2022,62,470007,沖縄県,沖縄県,,2,決算収支の状況,1,令和4年度,932266646,912192057,20074589,14457085,5617504,1337102,14142467,0,18293630,-2814061
2022,62,合計(全国),,,,2,決算収支の状況,1,令和4年度,63735721649,61739543602,1996178047,994880518,1001297529,82311995,597616376,62566216,659834225,82660362
決算年度,業務コード,団体コード ,県名,団体名,団体区分,表番号,表名称,行番号,行名称,001:歳入総額,002:歳出総額,003:歳入歳出差引,004:翌年度に繰り越すべき財源,005:実質収支,006:単年度収支,007:積立金,008:繰上償還金,009:積立金取崩し額,010:実質単年度収支
2022,62,10006,北海道,北海道,,2,決算収支の状況,2,令和3年度,3112930853,3067517778,45413075,12440963,32972112,1161279,52554543,0,28182712,25533110
2022,62,20001,青森県,青森県,,2,決算収支の状況,2,令和3年度,814945913,779805227,35140686,27170844,7969842,-1631923,2158,0,2723797,-4353562
2022,62,30007,岩手県,岩手県,,2,決算収支の状況,2,令和3年度,975880801,916637994,59242807,41626563,17616244,-6980604,23798424,5080000,6856980,15040840
2022,62,40002,宮城県,宮城県,,2,決算収支の状況,2,令和3年度,1256617271,1194611052,62006219,35074348,26931871,-827835,13840601,23000,14315366,-1279600
2022,62,50008,秋田県,秋田県,,2,決算収支の状況,2,令和3年度,681772442,656143335,25629107,9013986,16615121,3197204,6618560,0,4942514,4873250
2022,62,60003,山形県,山形県,,2,決算収支の状況,2,令和3年度,724673538,710313486,14360052,8124324,6235728,-9913833,8075239,0,0,-1838594
2022,62,70009,福島県,福島県,,2,決算収支の状況,2,令和3年度,1458027178,1397493330,60533848,52402756,8131092,105740,9138027,4227,16141394,-6893400
