決算年度,業務コード,団体コード ,県名,団体名,団体区分,表番号,表名称,行番号,行名称,001:令和4年度末現在高,002:令和5年度・歳出決算額,003:令和5年度・取崩し額,004:令和5年度・歳計剰余金処分によるもの,005:調整額,006:令和5年度末現在高,007:6列の管理状況・現金・預金,008:6列の管理状況・信託,009:6列の管理状況・有価証券,010:6列の管理状況・有価証券・うち地方債,011:6列の管理状況・出資金,012:6列の管理状況・その他
2023,62,320005,島根県,島根県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,6836577,9076956,6075268,0,1,9838266,2577769,0,7260497,817765,0,0
2023,62,330001,岡山県,岡山県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,17556649,3341807,1050000,0,0,19848456,16927518,0,2920938,1872475,0,0
2023,62,340006,広島県,広島県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,19437304,88976,7000000,0,0,12526280,12526280,0,0,0,0,0
2023,62,350001,山口県,山口県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,1187,2414242,0,0,0,2415429,2415429,0,0,0,0,0
2023,62,360007,徳島県,徳島県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,25817163,1939894,0,0,-1,27757056,27757056,0,0,0,0,0
2023,62,370002,香川県,香川県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,29694002,3001455,1944968,0,0,30750489,30750489,0,0,0,0,0
2023,62,380008,愛媛県,愛媛県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,18788119,2264698,0,0,0,21052817,21052817,0,0,0,0,0
2023,62,390003,高知県,高知県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,18588629,79708,4062920,0,0,14605417,13362083,0,1243334,0,0,0
2023,62,400009,福岡県,福岡県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,69200346,18921095,27914952,0,0,60206489,60206489,0,0,0,0,0
2023,62,410004,佐賀県,佐賀県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,15928744,3629835,2392845,0,0,17165734,17165734,0,0,0,0,0
2023,62,420000,長崎県,長崎県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,28264944,4541414,155895,0,0,32650463,3097470,0,29552993,12092500,0,0
2023,62,430005,熊本県,熊本県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,62102005,12174908,25215458,0,0,49061455,21725258,0,27336197,14712446,0,0
2023,62,440001,大分県,大分県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,22369351,5319492,4503700,0,-1,23185142,11064003,0,12121139,0,0,0
2023,62,450006,宮崎県,宮崎県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,45457804,20765346,21152958,0,0,45070192,38785027,0,6285165,0,0,0
2023,62,460001,鹿児島県,鹿児島県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,7440656,4206,0,0,0,7444862,6646659,0,798203,798203,0,0
2023,62,470007,沖縄県,沖縄県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,39874830,4701832,4762124,0,0,39814538,39814538,0,0,0,0,0
2023,62,合計(全国),,,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,1309553305,212402783,202450166,9117589,2217639,1330841150,1117514806,0,188099382,96961493,0,25226962
決算年度,業務コード,団体コード ,県名,団体名,団体区分,表番号,表名称,行番号,行名称,001:令和4年度末現在高,002:令和5年度・歳出決算額,003:令和5年度・取崩し額,004:令和5年度・歳計剰余金処分によるもの,005:調整額,006:令和5年度末現在高,007:6列の管理状況・現金・預金,008:6列の管理状況・信託,009:6列の管理状況・有価証券,010:6列の管理状況・有価証券・うち地方債,011:6列の管理状況・出資金,012:6列の管理状況・その他
